player_name,college_team,college_conference,college_start_year,college_end_year,college_pass_attempts,college_pass_completions,college_pass_yards,college_pass_tds,college_interceptions,college_completion_pct,college_td_int_ratio,college_yards_per_attempt,Unnamed: 0,Age,nfl_games,GS,nfl_pass_completions,nfl_pass_attempts,Cmp%,nfl_pass_yards,nfl_pass_tds,TD%,nfl_interceptions,Int%,1D,Lng,Y/A,AY/A,Y/C,Y/G,nfl_qb_rating,Sk,Yds-s,Sk%,NY/A,ANY/A,nfl_year,nfl_completion_percentage,nfl_td_int_ratio,nfl_yards_per_attempt
Dwayne Haskins,Ohio State,Big Ten,2017,2018,551,386,5065,50,9,70.10796221322536,4.875,9.5,1931.0,22.5,16,6.5,267,444,60.0,2804,12,2.75,14,3.15,69.0,62.5,6.35,5.5,10.6,178.64999999999998,74.55,24.5,172.5,10.1,4.984999999999999,4.2,2019.5,60.13513513513513,0.8571428571428571,6.315315315315315
Ej Manuel,Florida State,ACC,2009,2012,789,526,6923,43,28,66.47771392246023,1.3208333333333333,8.8,1495.8,25.0,30,3.6,343,590,55.36,3767,20,2.66,16,2.2199999999999998,35.0,51.8,6.140000000000001,5.659999999999999,11.14,119.84,73.42,9.4,59.4,7.659999999999999,5.162,4.726000000000001,2015.0,58.13559322033899,1.25,6.384745762711864
Feleipe Franks,Arkansas,SEC,2017,2020,836,516,6511,54,21,64.38108733499732,2.71875,8.125,2168.0,24.0,9,0.0,0,1,0.0,0,0,0.0,1,100.0,0.0,0.0,0.0,-45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.0,2021.0,0.0,0.0,0.0
Garrett Gilbert,SMU,American Athletic,2010,2013,1423,849,8992,45,37,59.521081793944916,1.5550527903469078,6.3,1966.5,28.5,8,0.5,43,75,46.625,477,1,0.65,1,0.65,4.75,27.25,6.5,6.325,10.325,119.25,75.95,1.25,12.0,9.025,4.88,4.725,2019.5,57.333333333333336,1.0,6.36
Geno Smith,West Virginia,Big 12,2010,2012,1306,883,10549,88,19,67.40156305373698,4.690476190476191,8.033333333333333,1689.1818181818182,28.363636363636363,92,7.363636363636363,1637,2576,60.709090909090904,18447,104,3.5818181818181816,66,2.209090909090909,79.0909090909091,53.90909090909091,6.645454545454545,6.363636363636363,10.881818181818183,159.0909090909091,83.5909090909091,18.454545454545453,135.0909090909091,10.50909090909091,5.131818181818182,4.888181818181818,2016.909090909091,63.548136645962735,1.5757575757575757,7.16110248447205
Greg Mcelroy,Alabama,SEC,2009,2010,610,401,5217,36,9,65.87730246169735,4.025,8.55,1226.0,24.0,2,1.0,19,31,61.3,214,1,3.2,1,3.2,13.0,30.0,6.9,6.1,11.3,107.0,79.2,11.0,71.0,26.2,3.4,2.81,2012.0,61.29032258064516,1.0,6.903225806451613
Ian Book,Notre Dame,FBS Independents,2017,2020,1021,650,8148,69,17,62.702982557041565,4.208333333333333,7.45,2125.0,23.0,1,1.0,12,20,60.0,135,0,0.0,2,10.0,5.0,56.0,6.8,2.3,11.3,135.0,40.6,8.0,54.0,28.6,2.89,-0.32,2021.0,60.0,0.0,6.75
Jacob Eason,Washington,Pac-12,2016,2019,722,430,5188,36,16,59.410648578473925,2.25,7.15,2196.0,24.5,2,0.0,5,10,50.0,84,0,0.0,2,20.0,2.0,29.5,8.4,-0.6000000000000001,16.1,42.0,39.2,0.0,0.0,0.0,8.4,-0.6000000000000001,2021.5,50.0,0.0,8.4
Jacoby Brissett,NC State,ACC,2014,2015,711,431,4792,41,9,60.59581141879475,4.575,6.75,1816.888888888889,27.88888888888889,82,5.333333333333333,999,1623,59.977777777777774,10798,54,4.2555555555555555,23,0.6888888888888889,58.55555555555556,45.333333333333336,6.144444444444444,6.677777777777778,9.81111111111111,106.0,90.0,14.444444444444445,90.77777777777777,6.6,5.351111111111111,5.895555555555556,2018.111111111111,61.552680221811464,2.347826086956522,6.6531115218730745
Jake Browning,Washington,Pac-12,2015,2018,1325,860,11347,92,32,65.0153863398631,3.2,8.55,1502.5,27.0,18,7.0,342,486,70.4,3872,24,4.9,14,2.9,93.0,80.0,8.0,7.7,11.3,215.1,98.4,24.0,169.0,9.0,6.62,6.34,2015.0,70.37037037037037,1.7142857142857142,7.967078189300412
Jake Fromm,Georgia,SEC,2017,2019,856,545,7320,70,15,63.98661824952603,4.666666666666667,8.733333333333334,2119.0,23.0,3,2.0,27,60,45.0,210,1,1.7,3,5.0,10.0,36.0,3.5,1.6,7.8,70.0,38.9,6.0,33.0,9.1,2.68,0.94,2021.0,45.0,0.3333333333333333,3.5
Jake Locker,Washington,Pac-10,2007,2010,1132,614,7583,53,35,53.97323903567741,1.4328282828282828,6.475,1259.75,24.5,30,5.75,408,709,56.875,4967,27,4.275,22,2.625,55.25,63.0,7.2,6.875,12.75,156.875,82.75,15.0,94.5,7.800000000000001,6.135,5.8375,2012.5,57.54583921015515,1.2272727272727273,7.005641748942172
Jake Luton,Oregon State,Pac-12,2015,2019,794,494,5610,43,15,62.27335913616195,3.2708333333333335,6.55,1992.0,24.0,3,3.0,60,110,54.5,624,2,1.8,6,5.5,31.0,73.0,5.7,3.6,10.4,208.0,54.5,7.0,52.0,6.0,4.89,2.92,2020.0,54.54545454545454,0.3333333333333333,5.672727272727273
Jake Rudock,Michigan,Big Ten,2013,2015,1019,635,7424,51,26,62.254313865501416,2.196296296296296,7.266666666666667,1712.0,24.0,3,0.0,3,5,60.0,24,0,0.0,1,20.0,1.0,13.0,4.8,-4.2,8.0,8.0,32.5,0.0,0.0,0.0,4.8,-4.2,2017.0,60.0,0.0,4.8
Jalen Hurts,Oklahoma,Big 12,2016,2019,936,627,8921,77,19,68.08311970451284,6.503968253968254,9.85,1846.4,23.8,79,13.6,1352,2116,62.120000000000005,15622,90,4.24,49,2.34,144.6,73.2,7.38,7.18,11.959999999999999,196.16,88.9,29.8,176.8,6.8,6.478,6.286,2018.6,63.89413988657845,1.836734693877551,7.382797731568998
Jameis Winston,Florida State,ACC,2013,2014,771,513,7379,62,27,66.65557652874156,2.6058823529411765,9.65,1766.8,25.4,100,8.0,1788,2929,60.07000000000001,22368,143,4.4399999999999995,102,3.6,111.3,52.0,7.159999999999999,6.4399999999999995,11.9,191.63,81.76,19.7,125.5,6.99,6.214,5.524,2017.8,61.04472516217139,1.4019607843137254,7.636736087401844
Jared Goff,California,Pac-12,2013,2015,1532,952,11733,90,30,62.191270165063095,3.215384615384615,7.666666666666667,1776.888888888889,25.88888888888889,134,14.88888888888889,3064,4712,64.26666666666667,35004,215,4.422222222222222,94,2.088888888888889,190.55555555555554,70.66666666666667,7.300000000000001,7.2333333333333325,11.31111111111111,254.07777777777775,92.03333333333333,27.444444444444443,197.55555555555554,5.455555555555556,6.488888888888889,6.447777777777778,2018.111111111111,65.02546689303905,2.2872340425531914,7.428692699490663
Jaren Hall,BYU,FBS Independents,2021,2022,672,437,5754,51,11,64.904399079931,4.583333333333334,8.55,1538.5,25.0,6,2.0,26,40,65.0,336,0,0.0,2,5.0,7.0,47.0,8.4,6.2,12.9,56.0,70.4,4.0,28.0,16.7,5.83,3.96,2015.0,65.0,0.0,8.4
Jarrett Stidham,Auburn,SEC,2015,2018,784,502,6514,42,11,65.17715912685858,4.283333333333333,9.066666666666666,1839.8,25.4,19,1.2,157,263,57.02,1918,10,3.06,9,7.68,16.6,43.4,6.44,3.5800000000000005,11.16,103.54,67.6,5.2,33.4,11.059999999999999,5.078,2.7359999999999998,2018.2,59.6958174904943,1.1111111111111112,7.2927756653992395
Jeff Driskel,Louisiana Tech,Conference USA,2012,2015,884,543,6615,46,24,62.47986301841944,2.0583333333333336,7.225,1830.3333333333333,27.833333333333332,24,2.1666666666666665,242,417,57.23333333333333,2560,18,5.383333333333333,12,3.9,20.0,36.5,6.2,5.533333333333334,11.033333333333333,138.51666666666668,77.21666666666667,7.666666666666667,55.166666666666664,10.366666666666667,4.755,4.1450000000000005,2018.1666666666667,58.033573141486805,1.5,6.139088729016787
Jeff Tuel,Washington State,Pac-12,2009,2012,819,501,5656,32,25,60.68932279721787,1.2333333333333334,6.8,1316.0,22.0,2,1.0,26,59,44.1,309,1,1.7,3,5.1,15.0,59.0,5.2,3.3,11.9,154.5,45.1,2.0,11.0,3.3,4.89,3.0,2013.0,44.06779661016949,0.3333333333333333,5.237288135593221
Jimmy Clausen,Notre Dame,FBS Independents,2007,2009,1084,673,7747,55,27,61.24894015577245,3.1143790849673203,6.866666666666667,1305.0,26.0,21,4.666666666666667,255,472,54.76666666666667,2520,7,2.266666666666667,14,2.766666666666667,28.666666666666668,41.666666666666664,5.233333333333333,4.466666666666666,9.6,120.13333333333333,65.63333333333334,14.333333333333334,93.66666666666667,7.033333333333334,4.4366666666666665,3.703333333333333,2013.0,54.02542372881356,0.5,5.338983050847458
Jimmy Garoppolo,Eastern Illinois,OVC,2013,2013,95,65,811,9,2,68.42105263157895,4.5,8.5,1737.090909090909,27.90909090909091,88,6.2727272727272725,1387,2064,62.96363636363637,16699,101,4.372727272727273,60,2.463636363636364,72.72727272727273,50.18181818181818,7.2727272727272725,7.054545454545454,11.281818181818181,169.5909090909091,90.16363636363637,13.727272727272727,92.9090909090909,7.136363636363637,6.234545454545454,6.0181818181818185,2017.4545454545455,67.19961240310077,1.6833333333333333,8.0906007751938
Joe Burrow,LSU,SEC,2018,2019,784,540,7214,60,10,67.64781618302466,5.5,8.95,1843.6,25.8,62,12.4,1532,2260,67.52000000000001,16392,112,4.74,43,1.8199999999999998,160.8,67.4,7.12,7.220000000000001,10.52,259.7,96.17999999999999,34.4,244.0,6.9799999999999995,6.106,6.218,2018.6,67.78761061946904,2.604651162790698,7.253097345132743
Joe Webb,UAB,Conference USA,2006,2009,792,468,5771,37,25,59.74088711058749,2.3125,7.35,1289.6666666666667,26.666666666666668,32,1.0,90,159,47.76666666666667,888,3,1.5999999999999999,6,6.966666666666666,14.666666666666666,38.666666666666664,5.466666666666666,2.6333333333333333,12.466666666666667,43.93333333333334,47.93333333333334,3.6666666666666665,23.0,4.233333333333333,4.933333333333334,2.1733333333333333,2012.6666666666667,56.60377358490566,0.5,5.584905660377358
John Wolford,Wake Forest,ACC,2014,2017,1205,719,8211,53,40,59.665356529543594,1.6549422799422802,6.9,2130.3333333333335,26.0,7,1.3333333333333333,61,104,48.06666666666666,626,1,0.5333333333333333,5,10.799999999999999,10.333333333333334,24.333333333333332,4.566666666666666,-0.2333333333333331,8.6,120.89999999999999,43.1,3.3333333333333335,21.666666666666668,11.700000000000001,3.306666666666667,-0.6233333333333332,2021.0,58.65384615384615,0.2,6.019230769230769
Johnny Manziel,Texas A&M,SEC,2012,2013,791,543,7151,57,21,68.65185421994886,2.769230769230769,9.0,1449.0,22.5,14,4.0,147,258,54.599999999999994,1675,7,1.55,7,3.95,39.0,46.5,5.85,4.35,10.649999999999999,100.85,60.7,11.0,83.5,7.9,4.77,3.405,2014.5,56.97674418604651,1.0,6.492248062015504
Jordan Love,Utah State,Mountain West,2017,2019,998,612,7655,53,27,60.24432874457303,2.6652777777777774,7.633333333333333,1828.75,24.25,44,8.75,794,1241,63.3,8924,67,4.75,25,2.15,112.25,69.75,7.575,7.525,11.925,151.625,93.275,15.75,126.75,3.6,7.029999999999999,7.0225,2018.25,63.98066075745367,2.68,7.190975020145045
Josh Allen,Wyoming,Mountain West,2016,2017,592,333,4654,39,19,56.240142071012144,2.083333333333333,7.7,1828.142857142857,24.857142857142858,111,15.714285714285714,2374,3724,62.91428571428571,27009,196,5.1000000000000005,96,2.642857142857143,187.0,72.0,7.185714285714285,7.028571428571429,11.471428571428572,240.4857142857143,90.51428571428572,28.428571428571427,177.0,5.328571428571428,6.4799999999999995,6.327142857142857,2018.5714285714287,63.74865735767992,2.0416666666666665,7.2526852846401715
Josh Rosen,UCLA,Pac-12,2015,2017,1129,685,8983,56,24,60.447635157080235,2.274074074074074,8.0,1932.3333333333333,22.333333333333332,24,5.333333333333333,277,513,42.2,2864,12,1.2333333333333332,21,8.799999999999999,46.333333333333336,43.0,4.233333333333333,0.5333333333333332,9.933333333333334,87.33333333333333,39.56666666666667,20.333333333333332,137.66666666666666,7.7,3.33,-0.2566666666666668,2019.3333333333333,53.99610136452242,0.5714285714285714,5.582846003898635
Joshua Dobbs,Tennessee,SEC,2013,2016,915,561,6552,51,28,61.060021483218975,1.775,6.9,1815.4,26.2,34,5.2,574,919,62.879999999999995,5384,28,1.8199999999999998,23,3.2,55.8,40.4,4.36,3.3,7.360000000000001,119.02000000000001,67.2,13.2,92.0,4.3,3.8480000000000003,2.792,2018.0,62.45919477693145,1.2173913043478262,5.85854189336235
Justin Fields,Ohio State,Big Ten,2019,2020,472,327,4474,55,6,70.04672157111182,21.5,9.45,1821.75,23.25,53,12.75,805,1328,60.525,9236,56,4.125,39,3.0,104.0,59.0,6.95,6.45,11.525,174.875,82.75,44.75,298.25,11.925,5.325,4.8625,2018.25,60.61746987951807,1.435897435897436,6.954819277108434
Justin Herbert,Oregon,Pac-12,2016,2019,1204,768,10004,92,20,64.05884995507637,4.745833333333334,8.525,1836.0,23.8,75,15.0,1910,2878,66.17999999999999,20357,134,4.66,49,1.6600000000000001,200.0,63.8,7.08,7.26,10.66,269.0,95.12,31.8,220.8,5.34,6.3020000000000005,6.465999999999999,2018.6,66.36553161917999,2.7346938775510203,7.073314801945796
Kellen Mond,Texas A&M,SEC,2017,2020,1283,756,9111,69,26,58.474301069746566,3.163194444444444,7.025,2151.0,22.0,1,0.0,2,3,66.7,5,0,0.0,0,0.0,0.0,6.0,1.7,1.7,2.5,5.0,70.1,0.0,0.0,0.0,1.67,1.67,2021.0,66.66666666666666,0.0,1.6666666666666667
Kellen Moore,Boise State,Mountain West,2008,2011,1512,1058,13602,138,24,69.97112129876105,7.0587301587301585,9.05,1498.0,26.0,3,2.0,61,104,58.7,779,4,3.8,6,5.8,40.0,36.0,7.5,5.7,12.8,259.7,71.0,5.0,23.0,4.6,6.94,5.19,2015.0,58.65384615384615,0.6666666666666666,7.490384615384615
Kenny Pickett,Pittsburgh,ACC,2017,2021,1607,1008,11806,78,32,61.72559419613073,2.311111111111111,7.3,1735.3333333333333,24.666666666666668,37,12.0,647,1037,62.333333333333336,6544,19,1.8666666666666665,17,1.5666666666666667,101.66666666666667,67.0,6.333333333333333,5.966666666666666,10.133333333333335,176.63333333333333,79.83333333333333,24.333333333333332,176.0,6.566666666666666,5.426666666666667,5.093333333333334,2017.3333333333333,62.39151398264223,1.1176470588235294,6.310511089681774
Kevin Hogan,Stanford,Pac-12,2012,2015,1025,679,8707,70,27,67.12951483345714,2.6939484126984126,8.350000000000001,1642.5,24.5,8,0.5,60,101,57.55,621,4,2.65,7,7.2,13.5,33.0,5.45,2.75,9.3,77.65,51.75,4.0,22.5,7.25,4.655,2.15,2016.5,59.4059405940594,0.5714285714285714,6.148514851485149
Kirk Cousins,Michigan State,Big Ten,2009,2011,990,641,8181,62,23,64.6674814754792,2.7407407407407405,8.299999999999999,1644.8461538461538,29.923076923076923,158,11.76923076923077,3681,5488,66.3076923076923,41802,288,5.376923076923077,115,2.5999999999999996,154.15384615384616,70.61538461538461,7.699999999999999,7.592307692307693,11.592307692307692,255.7,96.4923076923077,24.692307692307693,178.23076923076923,5.323076923076924,6.893846153846154,6.80076923076923,2016.6923076923076,67.07361516034986,2.5043478260869567,7.61698250728863
Kyle Allen,Houston,American Athletic,2014,2017,545,336,3989,33,17,64.62469182642035,1.8095238095238095,7.166666666666667,2000.2,24.0,23,3.8,441,704,63.54,4734,26,4.5,21,1.9,50.8,43.0,6.8,6.840000000000001,10.7,161.8,90.32,12.0,97.4,6.3,6.014,6.055999999999999,2020.0,62.64204545454546,1.2380952380952381,6.724431818181818
Kyle Trask,Florida,SEC,2019,2020,724,498,6761,67,11,68.65059960414484,6.3,9.25,1804.3333333333333,24.666666666666668,5,0.0,3,11,11.1,23,0,0.0,0,0.0,0.3333333333333333,3.0,0.8666666666666667,0.8666666666666667,2.566666666666667,7.666666666666667,40.53333333333333,0.0,0.0,0.0,0.8533333333333334,0.8533333333333334,2017.3333333333333,27.27272727272727,0.0,2.090909090909091
Kyler Murray,Oklahoma,Big 12,2015,2018,460,312,4742,45,14,65.15029620419806,3.2142857142857144,8.85,1851.5,24.333333333333332,73,12.166666666666666,1668,2507,66.43333333333334,17446,104,4.066666666666667,51,2.0166666666666666,140.83333333333334,63.166666666666664,6.8999999999999995,6.8,10.366666666666665,236.0666666666667,91.38333333333333,27.833333333333332,200.16666666666666,6.233333333333333,6.015000000000001,5.94,2018.6666666666667,66.5337056242521,2.0392156862745097,6.958915037893897
Lamar Jackson,Louisville,ACC,2015,2017,1002,584,8492,65,23,57.88291138006665,2.9166666666666665,8.299999999999999,1839.5714285714287,23.857142857142858,102,13.285714285714286,1669,2569,64.25714285714285,19565,149,5.628571428571428,52,2.0285714285714285,133.28571428571428,69.71428571428571,7.514285714285714,7.742857142857143,11.714285714285714,193.45714285714286,97.22857142857143,29.428571428571427,153.85714285714286,7.514285714285714,6.582857142857143,6.78,2018.5714285714287,64.96691319579602,2.8653846153846154,7.615803814713897
Landry Jones,Oklahoma,Big 12,2009,2012,2010,1273,15360,115,48,62.99220718689787,2.4627622377622376,7.625,1593.3333333333333,27.0,18,1.6666666666666667,108,169,67.3,1310,8,4.6000000000000005,7,4.3999999999999995,18.333333333333332,61.666666666666664,8.1,7.033333333333334,12.299999999999999,74.26666666666667,87.63333333333333,3.0,22.0,5.866666666666667,7.25,6.243333333333333,2016.0,63.905325443786985,1.1428571428571428,7.7514792899408285
Levi Brown,Troy,Sun Belt,2008,2009,731,465,5643,36,12,63.284799343765776,3.555555555555556,7.449999999999999,1057.0,23.0,1,0.0,2,3,66.7,24,0,0.0,1,33.3,1.0,16.0,8.0,-7.0,12.0,24.0,51.4,0.0,0.0,0.0,8.0,-7.0,2010.0,66.66666666666666,0.0,8.0
Logan Thomas,Virginia Tech,ACC,2011,2013,1144,644,8443,52,36,56.3605850864628,1.5187220187220187,7.366666666666667,1752.3333333333333,26.333333333333332,30,6.0,3,11,70.36666666666666,124,1,3.6999999999999997,0,0.0,1.0,41.333333333333336,17.333333333333332,18.066666666666666,41.333333333333336,14.533333333333333,113.0,0.6666666666666666,3.6666666666666665,6.066666666666666,16.453333333333333,17.06,2017.3333333333333,27.27272727272727,1.0,11.272727272727273
Logan Woodside,Toledo,Mid-American,2014,2017,1044,684,9736,90,21,65.05507671364067,4.364021164021164,9.166666666666666,1717.0,27.0,8,0.0,7,11,61.1,61,0,0.0,2,16.666666666666668,2.3333333333333335,10.333333333333334,5.3,-2.2333333333333334,8.333333333333334,18.400000000000002,49.53333333333333,0.6666666666666666,4.666666666666667,13.333333333333334,3.4433333333333334,-2.5566666666666666,2016.6666666666667,63.63636363636363,0.0,5.545454545454546
Luke Falk,Washington State,Pac-12,2014,2017,1950,1344,13922,116,38,68.18531078335809,3.0912087912087913,7.2,1893.0,25.0,3,2.0,47,73,64.4,416,0,0.0,3,4.1,15.0,36.0,5.7,3.8,8.9,138.7,62.4,16.0,96.0,18.0,3.6,2.08,2019.0,64.38356164383562,0.0,5.698630136986301
Mac Jones,Alabama,SEC,2019,2020,443,331,4915,43,7,73.14009279763789,5.833333333333333,10.75,1818.25,24.25,53,13.25,1088,1653,65.65,11038,56,3.3000000000000003,48,3.0,126.0,59.75,6.574999999999999,5.925,10.05,205.77499999999998,82.825,26.5,181.5,6.05,5.7875,5.145,2018.25,65.81972171808832,1.1666666666666667,6.677555958862674
Malik Willis,Liberty,FBS Independents,2020,2021,550,344,4658,44,16,62.708544410672076,3.5,8.45,1776.3333333333333,23.666666666666668,14,1.0,39,71,70.26666666666667,424,0,0.0,3,1.6333333333333335,4.333333333333333,48.0,11.366666666666667,10.633333333333335,15.299999999999999,27.96666666666667,93.39999999999999,6.0,36.333333333333336,34.300000000000004,4.326666666666667,3.693333333333333,2017.3333333333333,54.929577464788736,0.0,5.971830985915493
Marcus Mariota,Oregon,Pac-12,2012,2014,1044,699,9706,98,12,67.06897343994119,10.5,9.233333333333333,1779.2,26.4,93,7.4,1342,2141,61.61,15984,94,3.8699999999999997,56,2.69,76.1,49.0,6.909999999999999,6.470000000000001,11.120000000000001,153.77,84.37,18.9,120.9,7.609999999999999,5.93,5.526999999999999,2017.8,62.6809901914993,1.6785714285714286,7.465670247547875
Marqueis Gray,Minnesota,Big Ten,2011,2012,269,141,1959,13,10,54.81639839034205,1.75,7.65,1723.0,28.0,16,0.0,0,1,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.6,0.0,0.0,0.0,0.0,0.0,2017.0,0.0,0.0,0.0
